epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,4.847926426889922,0.3618877,3.011957,0.3295297,3.2227216,0.40084767,3.0305052,0.3151031,3.375319,4.353459511176299,0.41369194,2.7806666,0.35574573,2.9359794,0.39022005,2.9383712,0.43202934,2.9200354
1,2.8881080546057674,0.38218275,2.9191742,0.37443966,2.8876147,0.4272557,2.7881656,0.44127476,2.9613628,2.735085016474456,0.4405868,2.6239996,0.37114915,2.83126,0.44596577,2.5721762,0.47114915,2.9044445
2,2.8597987827962044,0.39171895,2.9467783,0.39921755,2.8023205,0.42904884,2.815405,0.4510555,2.878038,2.740706603159823,0.43056235,2.6663208,0.40366748,2.7647657,0.4432763,2.6941617,0.4765281,2.816727
3,2.824927095582194,0.40337434,2.9087293,0.41543728,2.7590516,0.44453502,2.8129382,0.4677643,2.8241405,2.7479563161621465,0.42298287,2.8065286,0.4180929,2.736623,0.4364303,2.6500762,0.46185818,2.7968948
4,2.812626812488936,0.41576332,2.9011059,0.42440295,2.7413414,0.44412747,2.8099334,0.47632244,2.7944272,2.7345597899047553,0.4185819,2.8102462,0.4237164,2.7208374,0.44669926,2.6071823,0.4762836,2.7872496
5,2.791027450437155,0.42155024,2.8792691,0.42823377,2.724535,0.4510555,2.7877355,0.48186487,2.7678277,2.743784195869651,0.42347187,2.6939638,0.40757945,2.7301266,0.43300733,2.681249,0.46283618,2.8633482
6,2.775950755842916,0.42823377,2.8593931,0.4429864,2.705912,0.45056647,2.7893724,0.48545113,2.7539327,2.690805308568157,0.41344744,2.7235959,0.40537897,2.7583349,0.45550123,2.5488179,0.48679706,2.72543
7,2.769030138472491,0.42179477,2.8714788,0.44608364,2.7037868,0.45553836,2.767468,0.4887929,2.7346551,2.679252392039031,0.40977997,2.7122877,0.41271394,2.7333078,0.4611247,2.532919,0.499022,2.7210207
8,2.768015391164561,0.42774472,2.8722093,0.4415193,2.7029138,0.4549678,2.7631278,0.49246067,2.7344425,2.698582070147787,0.42616138,2.70701,0.4246944,2.7326455,0.4589242,2.595375,0.48704156,2.7469378
9,2.7507460191961277,0.43345016,2.843363,0.45529383,2.677168,0.45806503,2.762322,0.49482435,2.7231011,2.6774105996549276,0.41295844,2.7017891,0.41173595,2.7362645,0.45672372,2.5320964,0.48973104,2.7270694
0,2.6314849494401162,0.44070423,2.663551,0.44559458,2.6464002,0.46018422,2.5638814,0.5107996,2.6434798,2.5487138681714865,0.47334963,2.518548,0.45476773,2.621108,0.4757946,2.453532,0.5232274,2.5876133
1,2.6054658304460574,0.44461653,2.6369517,0.44877332,2.6283758,0.46588963,2.5379944,0.5213954,2.6129575,2.549076859467187,0.47066015,2.524306,0.45476773,2.619158,0.46968216,2.4613087,0.5205379,2.57955
2,2.5932564868914567,0.4497514,2.6338804,0.45415273,2.6180503,0.47102454,2.524411,0.5296275,2.5915587,2.5433149507984263,0.47359413,2.530056,0.45378974,2.6126015,0.4777506,2.4493132,0.52811736,2.570015
3,2.591099933303552,0.4535822,2.6206305,0.45553836,2.6115215,0.4639335,2.5290644,0.5240851,2.5978754,2.538056142639123,0.47212714,2.514344,0.45305625,2.615682,0.46821517,2.4497578,0.52689487,2.5610552
4,2.5826193649734432,0.4521966,2.622725,0.4600212,2.6069887,0.46857935,2.5149322,0.5240851,2.5806825,2.5347397290115543,0.47212714,2.5187025,0.45574573,2.6060123,0.4784841,2.4405212,0.52860636,2.5621698
5,2.571459787866871,0.45716846,2.6135821,0.46409652,2.597433,0.47819707,2.5054626,0.5374521,2.5638247,2.5320645476903194,0.4765281,2.515287,0.4574572,2.6026084,0.47457212,2.442486,0.52689487,2.5565472
6,2.5687444984830283,0.45945066,2.6067567,0.46605265,2.5911863,0.47265467,2.507379,0.5332138,2.56479,2.5326178653315985,0.47432762,2.5167534,0.4613692,2.6007807,0.47555012,2.4469109,0.53056234,2.555422
7,2.5657120492524608,0.45415273,2.6070054,0.4654006,2.5915496,0.47379574,2.5023556,0.53549594,2.5569847,2.5302344338526646,0.47066015,2.520135,0.4586797,2.5942898,0.4770171,2.4464211,0.53129584,2.5506835
8,2.561740470307605,0.46018422,2.603977,0.46874237,2.5845447,0.47501835,2.5029457,0.53288776,2.5510333,2.5283073477756717,0.4765281,2.5152125,0.4581907,2.5944233,0.4787286,2.4482617,0.53080684,2.5464628
9,2.5570736301198878,0.4589616,2.5939574,0.46906838,2.5785313,0.47159508,2.4995282,0.53182817,2.5521524,2.5230411733566696,0.4762836,2.5169687,0.46723717,2.5869389,0.4787286,2.435605,0.53031784,2.5434885
0,2.4611611497636354,0.4859402,2.484943,0.49205315,2.5073214,0.5200913,2.3683372,0.56011087,2.4752345,2.357082633109431,0.5352078,2.317196,0.53007334,2.4418638,0.5789731,2.2234156,0.5938875,2.4312403
1,2.651938157614446,0.4352433,2.7357194,0.5057462,2.5786965,0.4657266,2.6498802,0.4953949,2.652108,3.9564011095788483,0.067726165,4.3411736,0.32665038,3.3836937,0.057212714,4.3422155,0.053056236,3.8564174
2,4.05640809824943,0.013693048,4.3501563,0.32838863,3.3890882,0.012307442,4.347118,0.04874073,3.862434,4.042641945165061,0.06503668,4.338798,0.32665038,3.3786213,0.024694376,4.337893,0.053056236,3.8370526
